"Date","Price","Open","High","Low","Vol.","Change %"
"01/06/2022","1,191.40","1,175.00","1,191.40","1,154.00","0.07K","2.75%"
"01/05/2022","1,159.50","1,139.70","1,162.80","1,139.70","0.08K","2.34%"
"01/04/2022","1,133.00","1,107.20","1,141.00","1,107.10","0.09K","1.89%"
"01/03/2022","1,112.00","1,131.00","1,131.00","1,109.10","0.10K","-3.13%"
"12/31/2021","1,147.90","1,145.00","1,151.00","1,127.70","0.06K","-0.85%"
"12/30/2021","1,157.70","1,160.00","1,170.20","1,139.40","0.10K","-1.00%"
"12/29/2021","1,169.40","1,132.80","1,172.10","1,101.70","0.19K","2.36%"
"12/28/2021","1,142.40","1,128.00","1,142.40","1,126.80","0.17K","4.10%"
"12/27/2021","1,097.40","1,076.40","1,097.40","1,070.00","0.16K","4.28%"
"12/23/2021","1,052.40","1,026.20","1,052.40","1,026.20","0.13K","2.93%"
"12/22/2021","1,022.40","1,000.70","1,025.10","990.20","0.21K","1.75%"
"12/21/2021","1,004.80","1,038.60","1,043.70","999.10","0.42K","-3.76%"
"12/20/2021","1,044.10","1,063.00","1,063.00","1,044.10","0.19K","-4.13%"
"12/17/2021","1,089.10","1,105.00","1,115.00","1,089.10","0.23K","-2.68%"
"12/16/2021","1,119.10","1,122.10","1,125.00","1,105.00","0.26K","0.87%"
"12/15/2021","1,109.50","1,099.00","1,135.40","1,085.20","0.27K","0.37%"
"12/14/2021","1,105.40","1,129.00","1,136.90","1,080.00","0.22K","-0.80%"
"12/13/2021","1,114.30","1,103.50","1,114.30","1,073.00","0.25K","4.21%"
"12/10/2021","1,069.30","1,069.30","1,069.30","1,028.60","0.32K","4.39%"
"12/09/2021","1,024.30","1,024.30","1,024.30","1,024.30","0.08K","4.60%"
"12/08/2021","979.30","950.60","979.30","950.60","0.12K","3.16%"
"12/07/2021","949.30","971.00","977.50","900.70","0.36K","1.35%"
"12/06/2021","936.70","902.80","936.70","902.80","0.10K","3.61%"
"12/04/2021","904.10","904.10","904.10","904.10","","-0.29%"
"12/03/2021","906.70","925.00","939.90","897.40","0.34K","-0.85%"
"12/02/2021","914.50","898.50","914.50","872.10","0.33K","5.18%"
"12/01/2021","869.50","854.60","869.50","854.60","0.27K","5.46%"
"11/30/2021","824.50","804.70","824.50","804.70","0.38K","3.78%"
"11/29/2021","794.50","773.00","796.20","769.60","0.22K","3.69%"
"11/26/2021","766.20","770.80","779.50","764.20","0.15K","-3.20%"
"11/24/2021","791.50","783.00","804.50","777.10","0.13K","1.55%"
"11/23/2021","779.40","780.10","789.30","760.10","0.18K","0.88%"
"11/22/2021","772.60","800.50","831.80","772.00","0.45K","-3.65%"
"11/19/2021","801.90","764.50","802.00","748.00","0.64K","5.93%"
"11/18/2021","757.00","735.70","757.00","702.20","0.53K","6.32%"
"11/17/2021","712.00","697.20","712.00","697.00","0.13K","6.75%"
"11/16/2021","667.00","649.00","667.00","649.00","0.16K","24.44%"
"11/15/2021","536.00","531.10","550.00","531.10","0.02K","-0.76%"
"11/12/2021","540.10","565.90","570.80","530.10","0.07K","-1.80%"
"11/11/2021","550.00","589.50","590.00","531.10","0.05K","-6.22%"
"11/10/2021","586.50","588.00","590.00","580.10","0.05K","-0.17%"
"11/09/2021","587.50","592.00","598.10","587.50","0.03K","-0.61%"
"11/08/2021","591.10","595.60","629.90","591.10","0.06K","-3.89%"
"11/05/2021","615.00","605.30","616.30","590.10","0.04K","1.49%"
"11/04/2021","606.00","609.30","620.00","600.00","0.05K","-0.54%"
"11/03/2021","609.30","579.80","624.00","579.80","0.10K","5.14%"
"11/02/2021","579.50","575.00","583.40","565.80","0.06K","1.13%"
"11/01/2021","573.00","595.20","595.20","571.00","0.09K","-3.14%"
"10/29/2021","591.60","610.50","616.80","588.50","0.19K","-3.59%"
"10/28/2021","613.60","621.70","632.40","610.70","0.17K","-2.60%"
"10/27/2021","630.00","642.00","642.00","624.00","0.20K","-2.84%"
"10/26/2021","648.40","657.20","657.20","644.10","0.24K","-1.76%"
"10/25/2021","660.00","668.00","680.00","650.40","0.27K","-1.14%"
"10/22/2021","667.60","679.00","697.90","662.40","0.17K","-1.68%"
"10/21/2021","679.00","676.00","691.60","662.00","0.19K","0.40%"
"10/20/2021","676.30","689.90","700.10","675.00","0.24K","-4.34%"
"10/19/2021","707.00","754.70","760.60","707.00","0.35K","-5.61%"
"10/18/2021","749.00","760.10","780.00","745.00","0.15K","-1.43%"
"10/15/2021","759.90","765.90","779.70","746.00","0.16K","-1.57%"
"10/14/2021","772.00","758.30","781.50","750.20","0.18K","1.81%"
"10/13/2021","758.30","730.00","769.60","719.20","0.21K","3.79%"
"10/12/2021","730.60","758.90","789.60","720.10","0.36K","-3.92%"
"10/11/2021","760.40","725.00","762.80","725.00","0.34K","5.49%"
"10/08/2021","720.80","678.90","725.00","670.00","0.48K","6.52%"
"10/07/2021","676.70","631.30","676.70","630.00","0.23K","6.62%"
"10/06/2021","634.70","646.80","648.80","626.00","0.08K","-0.91%"
"10/05/2021","640.50","634.00","655.00","620.20","0.13K","1.22%"
"10/04/2021","632.80","622.00","635.00","622.00","0.07K","1.23%"
"10/01/2021","625.10","637.10","644.50","607.90","0.21K","-0.38%"
"09/30/2021","627.50","600.50","648.50","596.00","0.31K","3.46%"
"09/29/2021","606.50","616.00","624.50","603.00","0.16K","-1.49%"
"09/28/2021","615.70","634.00","642.00","603.50","0.21K","-4.10%"
"09/27/2021","642.00","647.90","657.50","635.10","0.10K","-0.16%"
"09/24/2021","643.00","645.00","655.40","633.50","0.15K","0.66%"
"09/23/2021","638.80","639.20","659.70","632.70","0.23K","1.88%"
"09/22/2021","627.00","602.90","628.80","598.00","0.15K","4.15%"
"09/21/2021","602.00","603.30","618.00","594.30","0.19K","1.43%"
"09/20/2021","593.50","623.00","623.00","592.00","0.16K","-6.39%"
"09/17/2021","634.00","617.00","635.90","617.00","0.24K","6.75%"
"09/16/2021","593.90","599.80","599.80","578.30","0.09K","30.70%"
"09/15/2021","454.40","461.40","463.00","454.40","0.03K","-3.52%"
"09/14/2021","471.00","514.00","514.00","470.00","0.08K","-6.84%"
"09/13/2021","505.60","514.90","515.00","500.00","0.04K","-0.51%"
